"IMMUNE_CELLTYPE"	"TC"	"Correlation"	"PValue"	"mTC"
"910"	"T.cells.CD4.memory.activated"	"V28"	-0.0295	0.002153361	57
"911"	"T.cells.CD4.memory.activated"	"V36"	-0.0143	0.135895113	66
"912"	"T.cells.CD4.memory.activated"	"V46"	0.0755	3.78e-15	79
"913"	"T.cells.CD4.memory.activated"	"V55"	-0.124	1.56e-38	96
"914"	"T.cells.CD4.memory.activated"	"V63"	-0.0306	0.001433406	103
"915"	"T.cells.CD4.memory.activated"	"V67"	0.0177	0.066303727	111
"916"	"T.cells.CD4.memory.activated"	"V82"	-0.00987	0.304695272	130
"917"	"T.cells.CD4.memory.activated"	"V116"	0.0183	0.056849377	15
"918"	"T.cells.CD4.memory.activated"	"V131"	-0.282	4.73e-197	34
"919"	"T.cells.CD4.memory.activated"	"V139"	-0.0627	6.65e-11	41
"920"	"T.cells.CD4.memory.activated"	"V143"	0.22	6.57e-119	42
"921"	"T.cells.CD4.memory.activated"	"V146"	0.281	1.05e-195	43
"922"	"T.cells.CD4.memory.activated"	"V148"	0.406	0	44
"923"	"T.cells.CD4.memory.activated"	"V163"	-0.265	4.27e-173	45
"924"	"T.cells.CD4.memory.activated"	"V169"	-0.112	9.97e-32	46
"925"	"T.cells.CD4.memory.activated"	"V207"	0.126	1.01e-39	48
"926"	"T.cells.CD4.memory.activated"	"V215"	0.0911	2.31e-21	49
"927"	"T.cells.CD4.memory.activated"	"V220"	0.0743	1.02e-14	50
"928"	"T.cells.CD4.memory.activated"	"V240"	-0.121	7.79e-37	51
"929"	"T.cells.CD4.memory.activated"	"V252"	-0.198	1.92e-96	52
"930"	"T.cells.CD4.memory.activated"	"V253"	0.162	8.08e-65	53
"931"	"T.cells.CD4.memory.activated"	"V257"	-0.0154	0.109189499	54
"932"	"T.cells.CD4.memory.activated"	"V269"	-0.123	7.79e-38	55
"933"	"T.cells.CD4.memory.activated"	"V271"	0.0167	0.08296921	56
"934"	"T.cells.CD4.memory.activated"	"V286"	0.157	1.48e-60	58
"935"	"T.cells.CD4.memory.activated"	"V291"	-0.0306	0.001464124	59
"936"	"T.cells.CD4.memory.activated"	"V295"	0.132	5.88e-43	60
"937"	"T.cells.CD4.memory.activated"	"V305"	-0.0537	2.32e-08	61
"938"	"T.cells.CD4.memory.activated"	"V336"	0.051	1.13e-07	62
"939"	"T.cells.CD4.memory.activated"	"V342"	-0.0256	0.00776227	63
"940"	"T.cells.CD4.memory.activated"	"V352"	-0.0234	0.014794781	64
"941"	"T.cells.CD4.memory.activated"	"V357"	0.22	3.28e-118	65
"942"	"T.cells.CD4.memory.activated"	"V360"	-0.162	2.85e-64	67
"943"	"T.cells.CD4.memory.activated"	"V366"	0.128	1.78e-40	68
"944"	"T.cells.CD4.memory.activated"	"V373"	-0.072	6.55e-14	69
"945"	"T.cells.CD4.memory.activated"	"V394"	-0.04	3.1e-05	70
"946"	"T.cells.CD4.memory.activated"	"V405"	0.126	2.25e-39	71
"947"	"T.cells.CD4.memory.activated"	"V413"	-0.0896	1.02e-20	72
"948"	"T.cells.CD4.memory.activated"	"V425"	0.0808	4.01e-17	73
"949"	"T.cells.CD4.memory.activated"	"V426"	-0.112	1.36e-31	74
"950"	"T.cells.CD4.memory.activated"	"V442"	-0.0534	2.71e-08	75
"951"	"T.cells.CD4.memory.activated"	"V451"	0.0592	7.35e-10	76
"952"	"T.cells.CD4.memory.activated"	"V455"	0.251	5.69e-155	77
"953"	"T.cells.CD4.memory.activated"	"V458"	0.227	6.24e-127	78
"954"	"T.cells.CD4.memory.activated"	"V464"	-0.11	1.94e-30	80
"955"	"T.cells.CD4.memory.activated"	"V466"	-0.0641	2.53e-11	81
"956"	"T.cells.CD4.memory.activated"	"V467"	0.0663	5.29e-12	82
"957"	"T.cells.CD4.memory.activated"	"V479"	0.0263	0.006198533	83
"958"	"T.cells.CD4.memory.activated"	"V482"	-0.0104	0.281245112	84
"959"	"T.cells.CD4.memory.activated"	"V485"	-0.00165	0.863965472	85
"960"	"T.cells.CD4.memory.activated"	"V486"	-0.2	3.11e-98	86
"961"	"T.cells.CD4.memory.activated"	"V487"	-0.213	4.34e-111	87
"962"	"T.cells.CD4.memory.activated"	"V494"	0.0662	5.68e-12	88
"963"	"T.cells.CD4.memory.activated"	"V511"	-0.126	1.21e-39	89
"964"	"T.cells.CD4.memory.activated"	"V516"	-0.0932	2.59e-22	90
"965"	"T.cells.CD4.memory.activated"	"V518"	-0.0946	6.2e-23	91
"966"	"T.cells.CD4.memory.activated"	"V521"	0.0927	4.47e-22	92
"967"	"T.cells.CD4.memory.activated"	"V522"	0.138	7.52e-47	93
"968"	"T.cells.CD4.memory.activated"	"V523"	0.0758	3.01e-15	94
"969"	"T.cells.CD4.memory.activated"	"V540"	-0.069	6.72e-13	95
"970"	"T.cells.CD4.memory.activated"	"V564"	0.0392	4.48e-05	97
"971"	"T.cells.CD4.memory.activated"	"V567"	-0.0601	3.94e-10	98
"972"	"T.cells.CD4.memory.activated"	"V579"	-0.164	5.96e-66	99
"973"	"T.cells.CD4.memory.activated"	"V593"	0.0542	1.66e-08	100
"974"	"T.cells.CD4.memory.activated"	"V601"	0.0627	6.88e-11	101
"975"	"T.cells.CD4.memory.activated"	"V609"	-0.0552	9.41e-09	102
"976"	"T.cells.CD4.memory.activated"	"V630"	-0.107	5.36e-29	104
"977"	"T.cells.CD4.memory.activated"	"V647"	-0.149	1.01e-54	105
"978"	"T.cells.CD4.memory.activated"	"V649"	-0.018	0.060613449	106
"979"	"T.cells.CD4.memory.activated"	"V659"	0.0478	6.71e-07	107
"980"	"T.cells.CD4.memory.activated"	"V661"	0.163	5.13e-65	108
"981"	"T.cells.CD4.memory.activated"	"V668"	-0.143	1.79e-50	109
"982"	"T.cells.CD4.memory.activated"	"V669"	-0.053	3.51e-08	110
"983"	"T.cells.CD4.memory.activated"	"V670"	0.116	9.41e-34	112
"984"	"T.cells.CD4.memory.activated"	"V671"	0.234	3.7e-134	113
"985"	"T.cells.CD4.memory.activated"	"V680"	0.0911	2.28e-21	114
"986"	"T.cells.CD4.memory.activated"	"V712"	-0.00737	0.443503845	115
"987"	"T.cells.CD4.memory.activated"	"V736"	-0.0897	8.64e-21	116
"988"	"T.cells.CD4.memory.activated"	"V738"	0.16	4.04e-63	117
"989"	"T.cells.CD4.memory.activated"	"V747"	-0.0383	6.84e-05	118
"990"	"T.cells.CD4.memory.activated"	"V754"	0.132	2.81e-43	119
"991"	"T.cells.CD4.memory.activated"	"V756"	0.324	5e-262	120
"992"	"T.cells.CD4.memory.activated"	"V758"	0.149	1.32e-54	121
"993"	"T.cells.CD4.memory.activated"	"V773"	-0.17	4.71e-71	122
"994"	"T.cells.CD4.memory.activated"	"V777"	-0.0307	0.001398049	123
"995"	"T.cells.CD4.memory.activated"	"V786"	0.215	1.36e-113	124
"996"	"T.cells.CD4.memory.activated"	"V788"	-0.136	8.8e-46	125
"997"	"T.cells.CD4.memory.activated"	"V789"	-0.174	1.49e-74	126
"998"	"T.cells.CD4.memory.activated"	"V804"	-0.0424	1.02e-05	128
"999"	"T.cells.CD4.memory.activated"	"V814"	0.0338	0.000430706	129
"1000"	"T.cells.CD4.memory.activated"	"V825"	0.151	2.5e-56	131
"1001"	"T.cells.CD4.memory.activated"	"V833"	-0.0565	4.16e-09	132
"1002"	"T.cells.CD4.memory.activated"	"V839"	-0.155	3.97e-59	133
"1003"	"T.cells.CD4.memory.activated"	"V840"	0.252	1.81e-156	134
"1004"	"T.cells.CD4.memory.activated"	"V843"	-0.00503	0.600693335	135
"1005"	"T.cells.CD4.memory.activated"	"V856"	-0.0999	2.05e-25	136
"1006"	"T.cells.CD4.memory.activated"	"V870"	0.0115	0.23236071	137
"1007"	"T.cells.CD4.memory.activated"	"V881"	0.0544	1.51e-08	138
"1008"	"T.cells.CD4.memory.activated"	"V882"	0.00303	0.753004888	139
"1009"	"T.cells.CD4.memory.activated"	"V887"	0.122	2.87e-37	140
"1010"	"T.cells.CD4.memory.activated"	"V888"	0.0133	0.166908008	141
"1011"	"T.cells.CD4.memory.activated"	"V895"	-0.211	5.31e-109	142
"1012"	"T.cells.CD4.memory.activated"	"V896"	0.147	5.56e-53	143
"1013"	"T.cells.CD4.memory.activated"	"V898"	0.305	7.46e-232	144
"1014"	"T.cells.CD4.memory.activated"	"V923"	0.225	2.43e-124	145
"1015"	"T.cells.CD4.memory.activated"	"V926"	-0.121	1.18e-36	146
"1016"	"T.cells.CD4.memory.activated"	"V946"	0.1	1.14e-25	147
"1017"	"T.cells.CD4.memory.activated"	"V949"	0.248	8.07e-151	148
"1018"	"T.cells.CD4.memory.activated"	"V960"	0.108	1.66e-29	149
"1019"	"T.cells.CD4.memory.activated"	"V964"	0.0373	0.000105458	150
"1020"	"T.cells.CD4.memory.activated"	"V986"	-0.0592	7e-10	151
"1021"	"T.cells.CD4.memory.activated"	"V1002"	-0.241	1.62e-142	1
"1022"	"T.cells.CD4.memory.activated"	"V1032"	0.083	5.53e-18	2
"1023"	"T.cells.CD4.memory.activated"	"V1043"	-0.196	3.84e-94	3
"1024"	"T.cells.CD4.memory.activated"	"V1061"	-0.349	2.46e-308	4
"1025"	"T.cells.CD4.memory.activated"	"V1064"	0.0031	0.747049872	5
"1026"	"T.cells.CD4.memory.activated"	"V1069"	-0.148	2.74e-54	6
"1027"	"T.cells.CD4.memory.activated"	"V1108"	0.389	0	7
"1028"	"T.cells.CD4.memory.activated"	"V1112"	-0.0966	7.68e-24	8
"1029"	"T.cells.CD4.memory.activated"	"V1116"	-0.113	2.84e-32	9
"1030"	"T.cells.CD4.memory.activated"	"V1117"	0.0939	1.25e-22	10
"1031"	"T.cells.CD4.memory.activated"	"V1119"	-0.0757	3.24e-15	11
"1032"	"T.cells.CD4.memory.activated"	"V1132"	-0.177	6.56e-77	12
"1033"	"T.cells.CD4.memory.activated"	"V1145"	-0.0476	7.26e-07	13
"1034"	"T.cells.CD4.memory.activated"	"V1155"	0.126	2.04e-39	14
"1035"	"T.cells.CD4.memory.activated"	"V1164"	0.161	4.08e-64	16
"1036"	"T.cells.CD4.memory.activated"	"V1170"	-0.00971	0.312569498	17
"1037"	"T.cells.CD4.memory.activated"	"V1185"	0.159	6.22e-62	18
"1038"	"T.cells.CD4.memory.activated"	"V1194"	-0.0643	2.13e-11	19
"1039"	"T.cells.CD4.memory.activated"	"V1195"	-0.0316	0.001006106	20
"1040"	"T.cells.CD4.memory.activated"	"V1198"	0.014	0.146090761	21
"1041"	"T.cells.CD4.memory.activated"	"V1204"	-0.0352	0.000254244	23
"1042"	"T.cells.CD4.memory.activated"	"V1205"	0.151	4.76e-56	24
"1043"	"T.cells.CD4.memory.activated"	"V1209"	-0.0209	0.03005154	25
"1044"	"T.cells.CD4.memory.activated"	"V1224"	-0.134	1.39e-44	26
"1045"	"T.cells.CD4.memory.activated"	"V1225"	-0.0415	1.55e-05	27
"1046"	"T.cells.CD4.memory.activated"	"V1226"	0.0145	0.132129969	28
"1047"	"T.cells.CD4.memory.activated"	"V1233"	-0.255	1.02e-160	29
"1048"	"T.cells.CD4.memory.activated"	"V1246"	-0.125	6.98e-39	30
"1049"	"T.cells.CD4.memory.activated"	"V1254"	0.0918	1.15e-21	31
"1050"	"T.cells.CD4.memory.activated"	"V1275"	-0.0274	0.004346974	32
"1051"	"T.cells.CD4.memory.activated"	"V1303"	-0.241	3.28e-142	33
"1052"	"T.cells.CD4.memory.activated"	"V1313"	-0.0607	2.71e-10	35
"1053"	"T.cells.CD4.memory.activated"	"V1326"	0.067	3.07e-12	36
"1054"	"T.cells.CD4.memory.activated"	"V1359"	0.107	7.56e-29	37
"1055"	"T.cells.CD4.memory.activated"	"V1366"	-0.127	5.55e-40	38
"1056"	"T.cells.CD4.memory.activated"	"V1373"	-0.195	9.25e-93	39
"1057"	"T.cells.CD4.memory.activated"	"V1378"	-0.0668	3.64e-12	40
"1058"	"T.cells.follicular.helper"	"V2"	-0.138	2.55e-47	47
"1059"	"T.cells.follicular.helper"	"V8"	0.086	3.25e-19	127
"1060"	"T.cells.follicular.helper"	"V12"	-0.135	2.12e-45	22
"1061"	"T.cells.follicular.helper"	"V28"	-0.0212	0.027783275	57
"1062"	"T.cells.follicular.helper"	"V36"	0.0527	4.21e-08	66
"1063"	"T.cells.follicular.helper"	"V46"	0.0444	3.85e-06	79
"1064"	"T.cells.follicular.helper"	"V55"	-0.149	6.34e-55	96
"1065"	"T.cells.follicular.helper"	"V63"	0.0474	7.98e-07	103
"1066"	"T.cells.follicular.helper"	"V67"	0.00636	0.508526779	111
"1067"	"T.cells.follicular.helper"	"V82"	0.0685	9.88e-13	130
"1068"	"T.cells.follicular.helper"	"V116"	0.0578	1.77e-09	15
"1069"	"T.cells.follicular.helper"	"V131"	-0.44	0	34
"1070"	"T.cells.follicular.helper"	"V139"	-0.0658	7.39e-12	41
"1071"	"T.cells.follicular.helper"	"V143"	0.194	4.63e-92	42
"1072"	"T.cells.follicular.helper"	"V146"	0.337	3.09e-286	43
"1073"	"T.cells.follicular.helper"	"V148"	0.52	0	44
"1074"	"T.cells.follicular.helper"	"V163"	-0.268	6.23e-177	45
"1075"	"T.cells.follicular.helper"	"V169"	-0.206	4.5e-104	46
"1076"	"T.cells.follicular.helper"	"V207"	0.0858	3.96e-19	48
"1077"	"T.cells.follicular.helper"	"V215"	0.15	1.93e-55	49
"1078"	"T.cells.follicular.helper"	"V220"	0.196	1.06e-93	50
"1079"	"T.cells.follicular.helper"	"V240"	0.0061	0.52617958	51
"1080"	"T.cells.follicular.helper"	"V252"	-0.28	8.26e-194	52
"1081"	"T.cells.follicular.helper"	"V253"	0.209	4.44e-107	53
"1082"	"T.cells.follicular.helper"	"V257"	0.0755	3.87e-15	54
"1083"	"T.cells.follicular.helper"	"V269"	-0.0947	5.5e-23	55
"1084"	"T.cells.follicular.helper"	"V271"	0.117	2.18e-34	56
"1085"	"T.cells.follicular.helper"	"V286"	0.214	3.12e-112	58
"1086"	"T.cells.follicular.helper"	"V291"	-0.0173	0.071428821	59
"1087"	"T.cells.follicular.helper"	"V295"	0.308	1.03e-235	60
"1088"	"T.cells.follicular.helper"	"V305"	-0.121	7.57e-37	61
"1089"	"T.cells.follicular.helper"	"V336"	0.126	1.35e-39	62
"1090"	"T.cells.follicular.helper"	"V342"	-0.0499	2.08e-07	63
"1091"	"T.cells.follicular.helper"	"V352"	-0.0485	4.41e-07	64
"1092"	"T.cells.follicular.helper"	"V357"	0.344	9.48e-299	65
"1093"	"T.cells.follicular.helper"	"V360"	-0.186	4.16e-85	67
"1094"	"T.cells.follicular.helper"	"V366"	0.223	1.88e-122	68
"1095"	"T.cells.follicular.helper"	"V373"	-0.148	2.56e-54	69
"1096"	"T.cells.follicular.helper"	"V394"	-0.196	1.13e-93	70
"1097"	"T.cells.follicular.helper"	"V405"	-0.00342	0.722485954	71
"1098"	"T.cells.follicular.helper"	"V413"	-0.134	2.75e-44	72
"1099"	"T.cells.follicular.helper"	"V425"	0.0713	1.11e-13	73
"1100"	"T.cells.follicular.helper"	"V426"	-0.209	9.71e-107	74
"1101"	"T.cells.follicular.helper"	"V442"	0.0289	0.002652146	75
"1102"	"T.cells.follicular.helper"	"V451"	0.0904	4.37e-21	76
"1103"	"T.cells.follicular.helper"	"V455"	0.355	5.00033958843009e-319	77
"1104"	"T.cells.follicular.helper"	"V458"	0.209	1.98e-107	78
"1105"	"T.cells.follicular.helper"	"V464"	-0.0504	1.58e-07	80
"1106"	"T.cells.follicular.helper"	"V466"	0.0183	0.056843204	81
"1107"	"T.cells.follicular.helper"	"V467"	0.0247	0.010238536	82
"1108"	"T.cells.follicular.helper"	"V479"	0.045	2.78e-06	83
"1109"	"T.cells.follicular.helper"	"V482"	-0.134	1.44e-44	84
"1110"	"T.cells.follicular.helper"	"V485"	-0.0504	1.53e-07	85
"1111"	"T.cells.follicular.helper"	"V486"	-0.25	4.87e-154	86
"1112"	"T.cells.follicular.helper"	"V487"	-0.261	3.81e-168	87
"1113"	"T.cells.follicular.helper"	"V494"	0.0438	5.11e-06	88
"1114"	"T.cells.follicular.helper"	"V511"	-0.0242	0.011809491	89
"1115"	"T.cells.follicular.helper"	"V516"	-0.152	5.83e-57	90
"1116"	"T.cells.follicular.helper"	"V518"	-0.191	8.15e-90	91
"1117"	"T.cells.follicular.helper"	"V521"	0.0285	0.003065305	92
"1118"	"T.cells.follicular.helper"	"V522"	0.122	3.03e-37	93
"1119"	"T.cells.follicular.helper"	"V523"	0.0444	3.77e-06	94
"1120"	"T.cells.follicular.helper"	"V540"	0.0503	1.65e-07	95
"1121"	"T.cells.follicular.helper"	"V564"	0.0409	2.08e-05	97
"1122"	"T.cells.follicular.helper"	"V567"	-0.138	4.49e-47	98
"1123"	"T.cells.follicular.helper"	"V579"	-0.292	3.55e-212	99
"1124"	"T.cells.follicular.helper"	"V593"	0.0974	3.34e-24	100
"1125"	"T.cells.follicular.helper"	"V601"	-0.00779	0.418137819	101
"1126"	"T.cells.follicular.helper"	"V609"	-0.174	2.36e-74	102
"1127"	"T.cells.follicular.helper"	"V630"	-0.148	7.45e-54	104
"1128"	"T.cells.follicular.helper"	"V647"	-0.179	1.27e-78	105
"1129"	"T.cells.follicular.helper"	"V649"	-0.0437	5.33e-06	106
"1130"	"T.cells.follicular.helper"	"V659"	0.142	1.26e-49	107
"1131"	"T.cells.follicular.helper"	"V661"	0.268	2.73e-177	108
"1132"	"T.cells.follicular.helper"	"V668"	-0.135	3.76e-45	109
"1133"	"T.cells.follicular.helper"	"V669"	-0.0509	1.18e-07	110
"1134"	"T.cells.follicular.helper"	"V670"	0.0531	3.36e-08	112
"1135"	"T.cells.follicular.helper"	"V671"	0.202	8.75e-100	113
"1136"	"T.cells.follicular.helper"	"V680"	0.171	1.75e-71	114
"1137"	"T.cells.follicular.helper"	"V712"	0.0195	0.042399678	115
"1138"	"T.cells.follicular.helper"	"V736"	-0.174	3.76e-74	116
"1139"	"T.cells.follicular.helper"	"V738"	0.163	3.75e-65	117
"1140"	"T.cells.follicular.helper"	"V747"	0.00566	0.556316126	118
"1141"	"T.cells.follicular.helper"	"V754"	0.257	1.65e-162	119
"1142"	"T.cells.follicular.helper"	"V756"	0.394	0	120
"1143"	"T.cells.follicular.helper"	"V758"	0.0709	1.61e-13	121
"1144"	"T.cells.follicular.helper"	"V773"	-0.166	1.62e-67	122
"1145"	"T.cells.follicular.helper"	"V777"	-0.0105	0.274734601	123
"1146"	"T.cells.follicular.helper"	"V786"	0.197	3.14e-95	124
"1147"	"T.cells.follicular.helper"	"V788"	-0.183	2.62e-82	125
"1148"	"T.cells.follicular.helper"	"V789"	-0.145	5.77e-52	126
"1149"	"T.cells.follicular.helper"	"V804"	-0.00167	0.861752429	128
"1150"	"T.cells.follicular.helper"	"V814"	0.0686	8.94e-13	129
"1151"	"T.cells.follicular.helper"	"V825"	0.183	7.48e-82	131
"1152"	"T.cells.follicular.helper"	"V833"	-0.0573	2.42e-09	132
"1153"	"T.cells.follicular.helper"	"V839"	-0.163	3.89e-65	133
"1154"	"T.cells.follicular.helper"	"V840"	0.179	9.18e-79	134
"1155"	"T.cells.follicular.helper"	"V843"	-0.0896	9.56e-21	135
"1156"	"T.cells.follicular.helper"	"V856"	-0.0879	5.38e-20	136
"1157"	"T.cells.follicular.helper"	"V870"	-0.114	1.27e-32	137
"1158"	"T.cells.follicular.helper"	"V881"	-0.0409	2.13e-05	138
"1159"	"T.cells.follicular.helper"	"V882"	0.0657	7.66e-12	139
"1160"	"T.cells.follicular.helper"	"V887"	0.134	1.83e-44	140
"1161"	"T.cells.follicular.helper"	"V888"	-0.0987	8.06e-25	141
"1162"	"T.cells.follicular.helper"	"V895"	-0.336	2.34e-284	142
"1163"	"T.cells.follicular.helper"	"V896"	0.176	6.85e-76	143
"1164"	"T.cells.follicular.helper"	"V898"	0.368	0	144
"1165"	"T.cells.follicular.helper"	"V923"	0.167	1.44e-68	145
"1166"	"T.cells.follicular.helper"	"V926"	-0.00424	0.659441239	146
"1167"	"T.cells.follicular.helper"	"V946"	0.141	5.48e-49	147
"1168"	"T.cells.follicular.helper"	"V949"	0.21	2.31e-108	148
"1169"	"T.cells.follicular.helper"	"V960"	0.157	1.01e-60	149
"1170"	"T.cells.follicular.helper"	"V964"	0.132	2.9e-43	150
"1171"	"T.cells.follicular.helper"	"V986"	-0.0336	0.000472306	151
"1172"	"T.cells.follicular.helper"	"V1002"	-0.22	4.97e-119	1
"1173"	"T.cells.follicular.helper"	"V1032"	0.112	1.03e-31	2
"1174"	"T.cells.follicular.helper"	"V1043"	-0.263	8.7e-171	3
"1175"	"T.cells.follicular.helper"	"V1061"	-0.365	0	4
"1176"	"T.cells.follicular.helper"	"V1064"	-0.0816	1.96e-17	5
"1177"	"T.cells.follicular.helper"	"V1069"	-0.13	2.83e-42	6
"1178"	"T.cells.follicular.helper"	"V1108"	0.519	0	7
"1179"	"T.cells.follicular.helper"	"V1112"	-0.0743	1.03e-14	8
"1180"	"T.cells.follicular.helper"	"V1116"	-0.264	1.65e-172	9
"1181"	"T.cells.follicular.helper"	"V1117"	0.0412	1.85e-05	10
"1182"	"T.cells.follicular.helper"	"V1119"	-0.111	4.26e-31	11
"1183"	"T.cells.follicular.helper"	"V1132"	-0.261	1.06e-167	12
"1184"	"T.cells.follicular.helper"	"V1145"	-0.119	1.13e-35	13
"1185"	"T.cells.follicular.helper"	"V1155"	0.144	2.81e-51	14
"1186"	"T.cells.follicular.helper"	"V1164"	0.232	6.59e-132	16
"1187"	"T.cells.follicular.helper"	"V1170"	-0.153	7.26e-58	17
"1188"	"T.cells.follicular.helper"	"V1185"	0.285	1.76e-201	18
"1189"	"T.cells.follicular.helper"	"V1194"	-0.143	1.26e-50	19
"1190"	"T.cells.follicular.helper"	"V1195"	-0.126	1.55e-39	20
"1191"	"T.cells.follicular.helper"	"V1198"	0.139	4.54e-48	21
"1192"	"T.cells.follicular.helper"	"V1204"	-0.0458	1.92e-06	23
"1193"	"T.cells.follicular.helper"	"V1205"	0.23	1.57e-129	24
"1194"	"T.cells.follicular.helper"	"V1209"	-0.0093	0.333664377	25
"1195"	"T.cells.follicular.helper"	"V1224"	-0.257	3.13e-163	26
"1196"	"T.cells.follicular.helper"	"V1225"	-0.000836	0.930736645	27
"1197"	"T.cells.follicular.helper"	"V1226"	-0.0467	1.16e-06	28
"1198"	"T.cells.follicular.helper"	"V1233"	-0.262	6.96e-170	29
"1199"	"T.cells.follicular.helper"	"V1246"	-0.14	2.83e-48	30
"1200"	"T.cells.follicular.helper"	"V1254"	0.0658	7.51e-12	31
"1201"	"T.cells.follicular.helper"	"V1275"	-0.015	0.117989599	32
"1202"	"T.cells.follicular.helper"	"V1303"	-0.18	3.35e-79	33
"1203"	"T.cells.follicular.helper"	"V1313"	-0.0391	4.71e-05	35
"1204"	"T.cells.follicular.helper"	"V1326"	0.0956	2.27e-23	36
"1205"	"T.cells.follicular.helper"	"V1359"	0.105	7.59e-28	37
"1206"	"T.cells.follicular.helper"	"V1366"	-0.0968	5.89e-24	38
"1207"	"T.cells.follicular.helper"	"V1373"	-0.345	9.19e-300	39
"1208"	"T.cells.follicular.helper"	"V1378"	0.0109	0.258217075	40
"1209"	"T.cells.regulatory..Tregs."	"V2"	-0.102	1.28e-26	47
"1210"	"T.cells.regulatory..Tregs."	"V8"	0.125	1.08e-38	127
"1211"	"T.cells.regulatory..Tregs."	"V12"	-0.116	5.54e-34	22
"1212"	"T.cells.regulatory..Tregs."	"V28"	-0.0163	0.089188571	57
"1213"	"T.cells.regulatory..Tregs."	"V36"	-0.0218	0.023098472	66
"1214"	"T.cells.regulatory..Tregs."	"V46"	-0.133	3.68e-44	79
"1215"	"T.cells.regulatory..Tregs."	"V55"	-0.146	6.98e-53	96
"1216"	"T.cells.regulatory..Tregs."	"V63"	-0.0942	9.55e-23	103
"1217"	"T.cells.regulatory..Tregs."	"V67"	-0.0737	1.66e-14	111
"1218"	"T.cells.regulatory..Tregs."	"V82"	-0.131	1.66e-42	130
"1219"	"T.cells.regulatory..Tregs."	"V116"	-0.00349	0.716275309	15
"1220"	"T.cells.regulatory..Tregs."	"V131"	-0.491	0	34
"1221"	"T.cells.regulatory..Tregs."	"V139"	-0.172	9.47e-73	41
"1222"	"T.cells.regulatory..Tregs."	"V143"	0.299	5.24e-222	42
"1223"	"T.cells.regulatory..Tregs."	"V146"	0.321	1.91e-257	43
"1224"	"T.cells.regulatory..Tregs."	"V148"	0.433	0	44
"1225"	"T.cells.regulatory..Tregs."	"V163"	-0.23	2.82e-129	45
"1226"	"T.cells.regulatory..Tregs."	"V169"	-0.0621	1.05e-10	46
"1227"	"T.cells.regulatory..Tregs."	"V207"	0.173	3.81e-73	48
"1228"	"T.cells.regulatory..Tregs."	"V215"	-0.00227	0.813508397	49
"1229"	"T.cells.regulatory..Tregs."	"V220"	0.0976	2.51e-24	50
"1230"	"T.cells.regulatory..Tregs."	"V240"	0.0348	0.000294444	51
"1231"	"T.cells.regulatory..Tregs."	"V252"	-0.213	5.21e-111	52
"1232"	"T.cells.regulatory..Tregs."	"V253"	0.162	1.06e-64	53
"1233"	"T.cells.regulatory..Tregs."	"V257"	0.0676	1.93e-12	54
"1234"	"T.cells.regulatory..Tregs."	"V269"	-0.059	8.29e-10	55
"1235"	"T.cells.regulatory..Tregs."	"V271"	-0.095	3.96e-23	56
"1236"	"T.cells.regulatory..Tregs."	"V286"	0.183	7.09e-82	58
"1237"	"T.cells.regulatory..Tregs."	"V291"	0.0662	5.44e-12	59
"1238"	"T.cells.regulatory..Tregs."	"V295"	0.188	7.17e-87	60
"1239"	"T.cells.regulatory..Tregs."	"V305"	-0.0777	5.82e-16	61
"1240"	"T.cells.regulatory..Tregs."	"V336"	0.00667	0.488181368	62
"1241"	"T.cells.regulatory..Tregs."	"V342"	-0.113	2.61e-32	63
"1242"	"T.cells.regulatory..Tregs."	"V352"	-0.134	1.02e-44	64
"1243"	"T.cells.regulatory..Tregs."	"V357"	0.358	0	65
"1244"	"T.cells.regulatory..Tregs."	"V360"	-0.236	1.65e-136	67
"1245"	"T.cells.regulatory..Tregs."	"V366"	0.233	9.68e-134	68
"1246"	"T.cells.regulatory..Tregs."	"V373"	-0.147	1.24e-53	69
"1247"	"T.cells.regulatory..Tregs."	"V394"	-0.195	2.72e-93	70
"1248"	"T.cells.regulatory..Tregs."	"V405"	-0.0136	0.15745432	71
"1249"	"T.cells.regulatory..Tregs."	"V413"	-0.0624	8.27e-11	72
"1250"	"T.cells.regulatory..Tregs."	"V425"	0.228	3.5e-127	73
"1251"	"T.cells.regulatory..Tregs."	"V426"	-0.276	4.4e-188	74
"1252"	"T.cells.regulatory..Tregs."	"V442"	0.0506	1.4e-07	75
"1253"	"T.cells.regulatory..Tregs."	"V451"	0.0426	9.2e-06	76
"1254"	"T.cells.regulatory..Tregs."	"V455"	0.429	0	77
"1255"	"T.cells.regulatory..Tregs."	"V458"	0.212	3.32e-110	78
"1256"	"T.cells.regulatory..Tregs."	"V464"	0.00877	0.361790143	80
"1257"	"T.cells.regulatory..Tregs."	"V466"	0.0323	0.000770481	81
"1258"	"T.cells.regulatory..Tregs."	"V467"	0.0062	0.519376976	82
"1259"	"T.cells.regulatory..Tregs."	"V479"	-0.0467	1.21e-06	83
"1260"	"T.cells.regulatory..Tregs."	"V482"	-0.0674	2.19e-12	84
"1261"	"T.cells.regulatory..Tregs."	"V485"	-0.0131	0.173651058	85
"1262"	"T.cells.regulatory..Tregs."	"V486"	-0.186	3.6e-85	86
"1263"	"T.cells.regulatory..Tregs."	"V487"	-0.266	8.64e-175	87
"1264"	"T.cells.regulatory..Tregs."	"V494"	-0.0712	1.27e-13	88
