"DRUG_NAME"	"TC"	"Correlation"	"PValue"	"Compound..code.or.generic.name."	"Compound..brand.name."	"Target.s."	"Mechanism.of.action"	"Class"	"Highest.Phase"	"Organization"	"mTC"
"516"	15	"V265"	-0.140039026	0.004016936	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	53
"517"	16	"V329"	-0.139970928	0.001893705	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	75
"518"	16	"V418"	0.139850178	0.001911072	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	105
"519"	12	"V177"	-0.139802474	0.001938649	"Paclitaxel"	"Taxol"	"beta-tubulin "	"Microtubule-Stabilizing Agents"	"Cytotoxic"	"Launched-1993"	"Bristol-Myers Squibb"	28
"520"	13	"V80"	0.139767324	0.002007327	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	127
"521"	9	"V291"	0.139469199	0.001987934	"LBW242"	""	"IAP"	"Inhibitor of Apoptosis Proteins (IAP) Inhibitor"	"Other targeted therapies"	"Preclinical"	"Novartis"	64
"522"	11	"V306"	-0.139352985	0.001984128	"Nutlin-3"	""	"MDM2"	"MDM2 Inhibitor"	"Other targeted therapies"	"Preclinical"	"Roche"	69
"523"	24	"V462"	-0.139345694	0.002161994	"Vandetanib"	"Zactima"	"Abl, EGFR, Flt3, C-KIT, RET, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2011"	"AstraZeneca"	118
"524"	14	"V102"	-0.139226953	0.002003048	"PD-0325901"	""	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Discontinued"	"Pfizer "	3
"525"	4	"V396"	0.139126712	0.002039775	"AZD6244"	"Selumetinib"	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	97
"526"	16	"V21"	-0.138944609	0.002046036	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	41
"527"	10	"V332"	-0.138793254	0.005063082	"Nilotinib"	"Tasigna"	"Abl/Bcr-Abl"	"Abl Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"Novartis"	77
"528"	23	"V12"	-0.138759094	0.00207474	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	8
"529"	6	"V85"	-0.138579612	0.015327433	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	130
"530"	12	"V281"	0.138430534	0.002148984	"Paclitaxel"	"Taxol"	"beta-tubulin "	"Microtubule-Stabilizing Agents"	"Cytotoxic"	"Launched-1993"	"Bristol-Myers Squibb"	62
"531"	20	"V372"	0.138181317	0.002189362	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	89
"532"	12	"V90"	0.138172214	0.00219085	"Paclitaxel"	"Taxol"	"beta-tubulin "	"Microtubule-Stabilizing Agents"	"Cytotoxic"	"Launched-1993"	"Bristol-Myers Squibb"	133
"533"	21	"V396"	-0.138086872	0.002181862	"TAE684"	""	"ALK"	"ALK Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	97
"534"	15	"V173"	-0.137947706	0.004603437	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	25
"535"	21	"V291"	-0.137867548	0.002217892	"TAE684"	""	"ALK"	"ALK Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	64
"536"	3	"V2"	0.137809582	0.002227505	"AZD0530"	"Saracatinib"	"Src, Abl/Bcr-Abl, EGFR"	"Src and Abl inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	37
"537"	20	"V357"	0.137734159	0.002263552	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	84
"538"	20	"V156"	0.137674021	0.002273703	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	15
"539"	19	"V11"	0.137601703	0.003582139	"RAF265"	""	"Raf kinase B, KDR"	"Raf kinase B and KDR Inhibitor"	"Kinase inhibitor"	"Phase I"	"Novartis"	4
"540"	8	"V346"	-0.13760009	0.002262565	"Lapatinib"	"Tykerb"	"EGFR, HER2"	"EGFR and HER2 Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"GlaxoSmithKline"	80
"541"	21	"V164"	0.137568235	0.00226794	"TAE684"	""	"ALK"	"ALK Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	19
"542"	20	"V344"	-0.137356855	0.002327932	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	79
"543"	4	"V393"	-0.137348582	0.002329362	"AZD6244"	"Selumetinib"	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	96
"544"	7	"V291"	-0.13729642	0.002648481	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	64
"545"	5	"V2"	0.136919276	0.002404689	"Erlotinib"	"Tarceva"	"EGFR"	"EGFR  Inhibitor"	"Kinase inhibitor"	"Launched-2004"	"Genentech"	37
"546"	15	"V436"	-0.136878318	0.004932297	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	109
"547"	20	"V81"	0.136836231	0.002419515	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	128
"548"	24	"V411"	-0.136794072	0.002608565	"Vandetanib"	"Zactima"	"Abl, EGFR, Flt3, C-KIT, RET, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2011"	"AstraZeneca"	100
"549"	4	"V207"	-0.136719698	0.002440459	"AZD6244"	"Selumetinib"	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	39
"550"	15	"V349"	0.136701888	0.004988545	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	81
"551"	2	"V207"	-0.136629359	0.00245681	"AEW541"	""	"IGF-1R"	"IGF-1R Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	39
"552"	18	"V459"	0.136414447	0.002681765	"PLX4720"	""	"RAF "	"Raf kinase B Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Plexxikon"	115
"553"	21	"V142"	0.136361282	0.002480403	"TAE684"	""	"ALK"	"ALK Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	11
"554"	16	"V344"	-0.136312438	0.002489372	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	79
"555"	22	"V186"	0.136229673	0.002504637	"TKI258"	"Dovitinib"	"EGFR, FGFR1, PDGFRbeta, VEGFR-1, KDR"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Phase III"	"Novartis"	33
"556"	8	"V118"	-0.136108853	0.002527074	"Lapatinib"	"Tykerb"	"EGFR, HER2"	"EGFR and HER2 Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"GlaxoSmithKline"	6
"557"	7	"V461"	-0.136049931	0.002898004	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	117
"558"	13	"V466"	0.135913845	0.002670168	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	121
"559"	7	"V154"	-0.135886724	0.002932214	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	13
"560"	14	"V175"	-0.135845402	0.002576636	"PD-0325901"	""	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Discontinued"	"Pfizer "	26
"561"	13	"V349"	0.135783041	0.002695824	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	81
"562"	12	"V118"	0.135705081	0.002629936	"Paclitaxel"	"Taxol"	"beta-tubulin "	"Microtubule-Stabilizing Agents"	"Cytotoxic"	"Launched-1993"	"Bristol-Myers Squibb"	6
"563"	19	"V329"	-0.135655342	0.004087936	"RAF265"	""	"Raf kinase B, KDR"	"Raf kinase B and KDR Inhibitor"	"Kinase inhibitor"	"Phase I"	"Novartis"	75
"564"	19	"V270"	-0.135424452	0.00415204	"RAF265"	""	"Raf kinase B, KDR"	"Raf kinase B and KDR Inhibitor"	"Kinase inhibitor"	"Phase I"	"Novartis"	57
"565"	5	"V350"	-0.135247397	0.00271972	"Erlotinib"	"Tarceva"	"EGFR"	"EGFR  Inhibitor"	"Kinase inhibitor"	"Launched-2004"	"Genentech"	82
"566"	7	"V208"	-0.13483319	0.003162035	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	40
"567"	22	"V294"	-0.134786188	0.002784979	"TKI258"	"Dovitinib"	"EGFR, FGFR1, PDGFRbeta, VEGFR-1, KDR"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Phase III"	"Novartis"	65
"568"	23	"V200"	-0.13470928	0.002800689	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	38
"569"	17	"V170"	0.134682789	0.002834325	"PHA-665752"	""	"c-MET"	"c-MET Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Pfizer "	22
"570"	7	"V281"	0.134415093	0.003257693	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	62
"571"	22	"V36"	-0.134264276	0.002893183	"TKI258"	"Dovitinib"	"EGFR, FGFR1, PDGFRbeta, VEGFR-1, KDR"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Phase III"	"Novartis"	86
"572"	18	"V12"	-0.134183364	0.003151128	"PLX4720"	""	"RAF "	"Raf kinase B Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Plexxikon"	8
"573"	14	"V100"	0.134158513	0.002915571	"PD-0325901"	""	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Discontinued"	"Pfizer "	2
"574"	22	"V13"	-0.134076489	0.002933043	"TKI258"	"Dovitinib"	"EGFR, FGFR1, PDGFRbeta, VEGFR-1, KDR"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Phase III"	"Novartis"	10
"575"	16	"V405"	-0.133800788	0.002992469	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	99
"576"	23	"V259"	-0.133746852	0.003004222	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	51
"577"	22	"V156"	0.133734031	0.003007022	"TKI258"	"Dovitinib"	"EGFR, FGFR1, PDGFRbeta, VEGFR-1, KDR"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Phase III"	"Novartis"	15
"578"	8	"V432"	0.133675001	0.003019944	"Lapatinib"	"Tykerb"	"EGFR, HER2"	"EGFR and HER2 Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"GlaxoSmithKline"	108
"579"	12	"V463"	-0.133673586	0.00305019	"Paclitaxel"	"Taxol"	"beta-tubulin "	"Microtubule-Stabilizing Agents"	"Cytotoxic"	"Launched-1993"	"Bristol-Myers Squibb"	119
"580"	23	"V459"	0.133504369	0.003057582	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	115
"581"	8	"V414"	0.133348844	0.003092258	"Lapatinib"	"Tykerb"	"EGFR, HER2"	"EGFR and HER2 Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"GlaxoSmithKline"	103
"582"	16	"V9"	0.13314563	0.003138107	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	131
"583"	16	"V9"	0.13314563	0.003138107	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	132
"584"	21	"V344"	-0.133080088	0.003153026	"TAE684"	""	"ALK"	"ALK Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	79
"585"	11	"V381"	0.132976222	0.0031768	"Nutlin-3"	""	"MDM2"	"MDM2 Inhibitor"	"Other targeted therapies"	"Preclinical"	"Roche"	91
"586"	14	"V92"	-0.132937549	0.003185693	"PD-0325901"	""	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Discontinued"	"Pfizer "	135
"587"	20	"V118"	0.132859008	0.003235219	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	6
"588"	23	"V150"	0.132778239	0.003222569	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	12
"589"	1	"V258"	0.132709359	0.003270301	"17-AAG"	"Tanespimycin"	"HSP90"	"Heat Shock Protein 90 (hsp90) Inhibitor"	"Other targeted therapies"	"Phase III"	"Bristol-Myers Squibb"	50
"590"	4	"V466"	-0.132685423	0.003275944	"AZD6244"	"Selumetinib"	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	121
"591"	7	"V350"	-0.132585836	0.003707903	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	82
"592"	12	"V392"	-0.132584823	0.003299758	"Paclitaxel"	"Taxol"	"beta-tubulin "	"Microtubule-Stabilizing Agents"	"Cytotoxic"	"Launched-1993"	"Bristol-Myers Squibb"	95
"593"	20	"V358"	-0.132383422	0.003347908	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	85
"594"	14	"V11"	0.131898114	0.003433375	"PD-0325901"	""	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Discontinued"	"Pfizer "	4
"595"	16	"V306"	-0.131817492	0.003453299	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	69
"596"	5	"V462"	-0.131652511	0.00352806	"Erlotinib"	"Tarceva"	"EGFR"	"EGFR  Inhibitor"	"Kinase inhibitor"	"Launched-2004"	"Genentech"	118
"597"	14	"V71"	0.131617882	0.003503079	"PD-0325901"	""	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Discontinued"	"Pfizer "	124
"598"	9	"V91"	0.13140072	0.00359213	"LBW242"	""	"IAP"	"Inhibitor of Apoptosis Proteins (IAP) Inhibitor"	"Other targeted therapies"	"Preclinical"	"Novartis"	134
"599"	20	"V32"	0.131314141	0.003614403	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	72
"600"	5	"V44"	0.130834767	0.00374001	"Erlotinib"	"Tarceva"	"EGFR"	"EGFR  Inhibitor"	"Kinase inhibitor"	"Launched-2004"	"Genentech"	111
"601"	21	"V90"	0.130772199	0.003721289	"TAE684"	""	"ALK"	"ALK Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	133
"602"	23	"V416"	0.130762077	0.003723974	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	104
"603"	14	"V90"	-0.130386314	0.003824895	"PD-0325901"	""	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Discontinued"	"Pfizer "	133
"604"	21	"V463"	-0.130380371	0.00382651	"TAE684"	""	"ALK"	"ALK Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	119
"605"	23	"V11"	0.130318176	0.003843458	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	4
"606"	18	"V455"	0.129943451	0.00425403	"PLX4720"	""	"RAF "	"Raf kinase B Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Plexxikon"	114
"607"	2	"V142"	0.129925849	0.003989088	"AEW541"	""	"IGF-1R"	"IGF-1R Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	11
"608"	12	"V291"	-0.129566903	0.004091524	"Paclitaxel"	"Taxol"	"beta-tubulin "	"Microtubule-Stabilizing Agents"	"Cytotoxic"	"Launched-1993"	"Bristol-Myers Squibb"	64
"609"	4	"V92"	-0.129455456	0.00412381	"AZD6244"	"Selumetinib"	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	135
"610"	13	"V320"	-0.12931971	0.004280959	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	73
"611"	22	"V95"	-0.129111439	0.004186041	"TKI258"	"Dovitinib"	"EGFR, FGFR1, PDGFRbeta, VEGFR-1, KDR"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Phase III"	"Novartis"	136
"612"	6	"V12"	-0.1291098	0.023960422	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	8
"613"	16	"V171"	-0.129105697	0.004187735	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	23
"614"	2	"V459"	0.12908674	0.004232276	"AEW541"	""	"IGF-1R"	"IGF-1R Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	115
"615"	11	"V448"	-0.128701602	0.004308531	"Nutlin-3"	""	"MDM2"	"MDM2 Inhibitor"	"Other targeted therapies"	"Preclinical"	"Roche"	113
"616"	16	"V275"	-0.128484468	0.004374734	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	59
"617"	13	"V126"	-0.128449482	0.004549188	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	9
"618"	17	"V10"	0.128427926	0.004432526	"PHA-665752"	""	"c-MET"	"c-MET Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Pfizer "	1
"619"	22	"V258"	0.128399105	0.004401011	"TKI258"	"Dovitinib"	"EGFR, FGFR1, PDGFRbeta, VEGFR-1, KDR"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Phase III"	"Novartis"	50
"620"	10	"V396"	-0.128256396	0.009631386	"Nilotinib"	"Tasigna"	"Abl/Bcr-Abl"	"Abl Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"Novartis"	97
"621"	17	"V177"	-0.128227888	0.004495002	"PHA-665752"	""	"c-MET"	"c-MET Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Pfizer "	28
"622"	17	"V405"	-0.128161409	0.004515941	"PHA-665752"	""	"c-MET"	"c-MET Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Pfizer "	99
"623"	7	"V299"	-0.128145341	0.005044474	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	66
"624"	4	"V126"	0.128017011	0.004561724	"AZD6244"	"Selumetinib"	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	9
"625"	6	"V182"	-0.127865083	0.025361011	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	31
"626"	13	"V175"	-0.127699981	0.004792279	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	26
"627"	20	"V55"	-0.127608522	0.004693524	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	122
"628"	10	"V455"	0.127481075	0.010080896	"Nilotinib"	"Tasigna"	"Abl/Bcr-Abl"	"Abl Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"Novartis"	114
"629"	2	"V155"	0.1273806	0.004768548	"AEW541"	""	"IGF-1R"	"IGF-1R Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	14
"630"	20	"V170"	0.127344534	0.004780519	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	22
"631"	16	"V118"	0.127194828	0.004787242	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	6
"632"	18	"V306"	-0.12690987	0.005245997	"PLX4720"	""	"RAF "	"Raf kinase B Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Plexxikon"	69
"633"	4	"V448"	-0.126837041	0.00495186	"AZD6244"	"Selumetinib"	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	113
"634"	10	"V266"	-0.12674879	0.010522462	"Nilotinib"	"Tasigna"	"Abl/Bcr-Abl"	"Abl Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"Novartis"	54
"635"	22	"V10"	0.126701277	0.004954184	"TKI258"	"Dovitinib"	"EGFR, FGFR1, PDGFRbeta, VEGFR-1, KDR"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Phase III"	"Novartis"	1
"636"	20	"V381"	0.126641331	0.005019403	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	91
"637"	2	"V72"	-0.126621955	0.005026135	"AEW541"	""	"IGF-1R"	"IGF-1R Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	125
"638"	9	"V95"	0.126563767	0.005046401	"LBW242"	""	"IAP"	"Inhibitor of Apoptosis Proteins (IAP) Inhibitor"	"Other targeted therapies"	"Preclinical"	"Novartis"	136
"639"	11	"V91"	-0.12648346	0.005029517	"Nutlin-3"	""	"MDM2"	"MDM2 Inhibitor"	"Other targeted therapies"	"Preclinical"	"Roche"	134
"640"	23	"V260"	0.126482151	0.005029972	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	52
"641"	10	"V171"	-0.126439885	0.010713819	"Nilotinib"	"Tasigna"	"Abl/Bcr-Abl"	"Abl Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"Novartis"	23
"642"	21	"V155"	0.126292009	0.005096582	"TAE684"	""	"ALK"	"ALK Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	14
"643"	12	"V448"	-0.125893358	0.005285266	"Paclitaxel"	"Taxol"	"beta-tubulin "	"Microtubule-Stabilizing Agents"	"Cytotoxic"	"Launched-1993"	"Bristol-Myers Squibb"	113
"644"	21	"V294"	-0.125855362	0.005252566	"TAE684"	""	"ALK"	"ALK Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	65
"645"	7	"V416"	0.12582508	0.005903504	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	104
"646"	7	"V216"	-0.125800616	0.005913223	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	43
"647"	13	"V387"	0.125740826	0.005484049	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	94
"648"	11	"V460"	-0.125568412	0.005357403	"Nutlin-3"	""	"MDM2"	"MDM2 Inhibitor"	"Other targeted therapies"	"Preclinical"	"Roche"	116
"649"	7	"V372"	0.125410722	0.006070069	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	89
"650"	17	"V176"	0.125393426	0.005469971	"PHA-665752"	""	"c-MET"	"c-MET Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Pfizer "	27
"651"	17	"V349"	0.125261465	0.005519685	"PHA-665752"	""	"c-MET"	"c-MET Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Pfizer "	81
"652"	13	"V155"	0.125220622	0.005682243	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	14
"653"	15	"V241"	0.125204797	0.010165853	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	48
