"IMMUNE_CELLTYPE"	"TC"	"Correlation"	"PValue"
"455"	"T.cells.CD8"	"V400"	0.122	8.25e-68
"456"	"T.cells.CD8"	"V403"	0.00802	0.253833061
"457"	"T.cells.CD8"	"V405"	-0.0476	1.23e-11
"458"	"T.cells.CD8"	"V423"	0.272	0
"459"	"T.cells.CD8"	"V431"	0.0458	7.15e-11
"460"	"T.cells.CD8"	"V435"	-0.154	2.43e-107
"461"	"T.cells.CD8"	"V451"	-0.186	9.64e-158
"462"	"T.cells.CD8"	"V452"	0.247	5.12e-279
"463"	"T.cells.CD8"	"V455"	-0.14	2.21e-89
"464"	"T.cells.CD8"	"V458"	-0.0872	1.79e-35
"465"	"T.cells.CD8"	"V461"	0.0751	9.21e-27
"466"	"T.cells.CD8"	"V464"	0.219	9.9e-218
"467"	"T.cells.CD8"	"V469"	0.156	4.97e-110
"468"	"T.cells.CD8"	"V473"	-0.074	5.03e-26
"469"	"T.cells.CD8"	"V479"	0.0289	3.86e-05
"470"	"T.cells.CD8"	"V484"	0.0952	5.27e-42
"471"	"T.cells.CD8"	"V493"	0.212	3.61e-204
"472"	"T.cells.CD8"	"V504"	0.0485	4.81e-12
"473"	"T.cells.CD8"	"V519"	0.0859	1.69e-34
"474"	"T.cells.CD8"	"V527"	0.293	0
"475"	"T.cells.CD8"	"V528"	0.00702	0.317584471
"476"	"T.cells.CD8"	"V533"	0.127	3.96e-74
"477"	"T.cells.CD8"	"V537"	-0.00327	0.641320627
"478"	"T.cells.CD8"	"V562"	-0.118	7.54e-64
"479"	"T.cells.CD8"	"V570"	-0.096	1.1e-42
"480"	"T.cells.CD8"	"V576"	0.119	1.02e-64
"481"	"T.cells.CD8"	"V590"	-0.01	0.153019612
"482"	"T.cells.CD8"	"V592"	0.0287	4.31e-05
"483"	"T.cells.CD8"	"V611"	0.138	3.96e-86
"484"	"T.cells.CD8"	"V625"	0.0214	0.002304753
"485"	"T.cells.CD8"	"V626"	-0.0545	8.29e-15
"486"	"T.cells.CD8"	"V628"	-0.187	4.89e-158
"487"	"T.cells.CD8"	"V632"	-0.151	7.56e-104
"488"	"T.cells.CD8"	"V645"	0.0352	5.34e-07
"489"	"T.cells.CD8"	"V648"	-0.0915	6.34e-39
"490"	"T.cells.CD8"	"V657"	0.126	1.16e-72
"491"	"T.cells.CD8"	"V658"	-0.0646	3.33e-20
"492"	"T.cells.CD8"	"V662"	-0.0748	1.47e-26
"493"	"T.cells.CD8"	"V663"	-0.0182	0.009595855
"494"	"T.cells.CD8"	"V675"	-0.0661	4.81e-21
"495"	"T.cells.CD8"	"V677"	-0.116	4.42e-62
"496"	"T.cells.CD8"	"V678"	0.153	1.12e-106
"497"	"T.cells.CD8"	"V681"	0.0451	1.35e-10
"498"	"T.cells.CD8"	"V684"	-0.165	2.64e-123
"499"	"T.cells.CD8"	"V689"	-0.17	2.19e-131
"500"	"T.cells.CD8"	"V702"	-0.12	1.17e-65
"501"	"T.cells.CD8"	"V703"	-0.0193	0.006123043
"502"	"T.cells.CD8"	"V710"	-0.0508	4.6e-13
"503"	"T.cells.CD8"	"V719"	0.0818	1.89e-31
"504"	"T.cells.CD8"	"V723"	-0.0908	2.41e-38
"505"	"T.cells.CD8"	"V731"	0.0424	1.57e-09
"506"	"T.cells.CD8"	"V743"	0.22	1.73e-220
"507"	"T.cells.CD8"	"V746"	-0.108	6.44e-54
"508"	"T.cells.CD8"	"V750"	-0.223	1.21e-226
"509"	"T.cells.CD8"	"V759"	-0.317	0
"510"	"T.cells.CD8"	"V772"	-0.0811	6.74e-31
"511"	"T.cells.CD8"	"V774"	0.0662	3.95e-21
"512"	"T.cells.CD8"	"V790"	0.0952	4.72e-42
"513"	"T.cells.CD8"	"V792"	-0.0441	3.39e-10
"514"	"T.cells.CD8"	"V794"	0.175	5.03e-139
"515"	"T.cells.CD8"	"V802"	0.291	0
"516"	"T.cells.CD8"	"V804"	0.173	6.41e-136
"517"	"T.cells.CD8"	"V810"	0.127	1.29e-73
"518"	"T.cells.CD8"	"V814"	-0.0278	7.69e-05
"519"	"T.cells.CD8"	"V817"	-0.0281	6.42e-05
"520"	"T.cells.CD8"	"V820"	0.0435	6.07e-10
"521"	"T.cells.CD8"	"V821"	0.402	0
"522"	"T.cells.CD8"	"V822"	-0.0184	0.008710469
"523"	"T.cells.CD8"	"V823"	0.1	1.45e-46
"524"	"T.cells.CD8"	"V830"	-0.166	9.69e-125
"525"	"T.cells.CD8"	"V834"	0.0446	2.18e-10
"526"	"T.cells.CD8"	"V838"	-0.0116	0.099159747
"527"	"T.cells.CD8"	"V844"	-0.0775	2.41e-28
"528"	"T.cells.CD8"	"V851"	-0.0266	0.000155061
"529"	"T.cells.CD4.naive"	"V13"	-0.00975	0.165285123
"530"	"T.cells.CD4.naive"	"V14"	0.00517	0.461917394
"531"	"T.cells.CD4.naive"	"V17"	-0.205	2.72e-190
"532"	"T.cells.CD4.naive"	"V23"	0.06	1.3e-17
"533"	"T.cells.CD4.naive"	"V25"	0.193	1.76e-168
"534"	"T.cells.CD4.naive"	"V27"	-0.0624	5.69e-19
"535"	"T.cells.CD4.naive"	"V37"	-0.053	4.37e-14
"536"	"T.cells.CD4.naive"	"V40"	-0.124	8.45e-71
"537"	"T.cells.CD4.naive"	"V52"	0.03	1.94e-05
"538"	"T.cells.CD4.naive"	"V54"	0.116	6.97e-62
"539"	"T.cells.CD4.naive"	"V67"	0.0541	1.3e-14
"540"	"T.cells.CD4.naive"	"V68"	0.0198	0.004789471
"541"	"T.cells.CD4.naive"	"V83"	0.145	2.93e-96
"542"	"T.cells.CD4.naive"	"V94"	0.0854	3.95e-34
"543"	"T.cells.CD4.naive"	"V100"	0.0772	3.44e-28
"544"	"T.cells.CD4.naive"	"V112"	-0.159	2.37e-115
"545"	"T.cells.CD4.naive"	"V118"	-0.15	7.08e-103
"546"	"T.cells.CD4.naive"	"V119"	0.111	1.38e-56
"547"	"T.cells.CD4.naive"	"V140"	0.0384	4.4e-08
"548"	"T.cells.CD4.naive"	"V142"	0.108	2.69e-53
"549"	"T.cells.CD4.naive"	"V149"	0.00966	0.169103959
"550"	"T.cells.CD4.naive"	"V150"	0.0459	6.4e-11
"551"	"T.cells.CD4.naive"	"V155"	0.16	7.49e-116
"552"	"T.cells.CD4.naive"	"V157"	0.241	1.42e-264
"553"	"T.cells.CD4.naive"	"V159"	-0.00626	0.373160578
"554"	"T.cells.CD4.naive"	"V166"	0.224	1.09e-228
"555"	"T.cells.CD4.naive"	"V180"	0.00281	0.689457256
"556"	"T.cells.CD4.naive"	"V184"	-0.0241	0.000615652
"557"	"T.cells.CD4.naive"	"V189"	0.00176	0.801779625
"558"	"T.cells.CD4.naive"	"V190"	0.0665	2.8e-21
"559"	"T.cells.CD4.naive"	"V205"	0.0644	4.63e-20
"560"	"T.cells.CD4.naive"	"V219"	0.0874	1.24e-35
"561"	"T.cells.CD4.naive"	"V222"	0.16	1.83e-116
"562"	"T.cells.CD4.naive"	"V227"	0.157	1.73e-111
"563"	"T.cells.CD4.naive"	"V231"	0.109	5.25e-55
"564"	"T.cells.CD4.naive"	"V238"	-0.197	5.55e-177
"565"	"T.cells.CD4.naive"	"V241"	-0.00174	0.803844437
"566"	"T.cells.CD4.naive"	"V255"	-0.143	8.15e-93
"567"	"T.cells.CD4.naive"	"V256"	0.00645	0.358463874
"568"	"T.cells.CD4.naive"	"V260"	0.0458	7.19e-11
"569"	"T.cells.CD4.naive"	"V261"	0.0164	0.019329009
"570"	"T.cells.CD4.naive"	"V268"	0.0875	8.83e-36
"571"	"T.cells.CD4.naive"	"V270"	-0.211	3.22e-203
"572"	"T.cells.CD4.naive"	"V281"	0.2	8.52e-182
"573"	"T.cells.CD4.naive"	"V284"	-0.107	8.52e-53
"574"	"T.cells.CD4.naive"	"V286"	-0.0681	3e-22
"575"	"T.cells.CD4.naive"	"V287"	0.0375	9.11e-08
"576"	"T.cells.CD4.naive"	"V294"	0.143	1.33e-93
"577"	"T.cells.CD4.naive"	"V308"	0.0151	0.031311728
"578"	"T.cells.CD4.naive"	"V327"	-0.0572	3.8e-16
"579"	"T.cells.CD4.naive"	"V337"	-0.0535	2.48e-14
"580"	"T.cells.CD4.naive"	"V362"	0.0681	2.87e-22
"581"	"T.cells.CD4.naive"	"V370"	-0.025	0.00037512
"582"	"T.cells.CD4.naive"	"V375"	-0.0292	3.29e-05
"583"	"T.cells.CD4.naive"	"V385"	0.0656	8.84e-21
"584"	"T.cells.CD4.naive"	"V386"	0.0207	0.003158298
"585"	"T.cells.CD4.naive"	"V392"	0.0829	2.88e-32
"586"	"T.cells.CD4.naive"	"V393"	0.147	1.63e-98
"587"	"T.cells.CD4.naive"	"V400"	0.0483	6.27e-12
"588"	"T.cells.CD4.naive"	"V403"	0.171	3.14e-133
"589"	"T.cells.CD4.naive"	"V405"	-0.0566	7.19e-16
"590"	"T.cells.CD4.naive"	"V423"	0.0537	2e-14
"591"	"T.cells.CD4.naive"	"V431"	0.0798	5.43e-30
"592"	"T.cells.CD4.naive"	"V435"	-0.05	1.01e-12
"593"	"T.cells.CD4.naive"	"V451"	-0.134	9.12e-82
"594"	"T.cells.CD4.naive"	"V452"	-0.0617	1.53e-18
"595"	"T.cells.CD4.naive"	"V455"	-0.194	1.14e-171
"596"	"T.cells.CD4.naive"	"V458"	-0.136	5.1e-84
"597"	"T.cells.CD4.naive"	"V461"	0.0252	0.000333818
"598"	"T.cells.CD4.naive"	"V464"	0.165	8.17e-124
"599"	"T.cells.CD4.naive"	"V469"	0.137	9.78e-86
"600"	"T.cells.CD4.naive"	"V473"	-0.0575	2.69e-16
"601"	"T.cells.CD4.naive"	"V479"	0.0636	1.22e-19
"602"	"T.cells.CD4.naive"	"V484"	0.11	5.94e-56
"603"	"T.cells.CD4.naive"	"V493"	0.149	1.18e-100
"604"	"T.cells.CD4.naive"	"V504"	0.0929	4.39e-40
"605"	"T.cells.CD4.naive"	"V519"	0.107	4.18e-53
"606"	"T.cells.CD4.naive"	"V527"	0.0469	2.46e-11
"607"	"T.cells.CD4.naive"	"V528"	0.00475	0.498522448
"608"	"T.cells.CD4.naive"	"V533"	-0.0656	8.65e-21
"609"	"T.cells.CD4.naive"	"V537"	0.0298	2.22e-05
"610"	"T.cells.CD4.naive"	"V562"	-0.023	0.001067039
"611"	"T.cells.CD4.naive"	"V570"	0.0639	8.32e-20
"612"	"T.cells.CD4.naive"	"V576"	0.0753	6.67e-27
"613"	"T.cells.CD4.naive"	"V590"	0.059	4.15e-17
"614"	"T.cells.CD4.naive"	"V592"	-0.0893	3.92e-37
"615"	"T.cells.CD4.naive"	"V611"	0.222	5.43e-225
"616"	"T.cells.CD4.naive"	"V625"	0.0502	8.88e-13
"617"	"T.cells.CD4.naive"	"V626"	0.00833	0.235604228
"618"	"T.cells.CD4.naive"	"V628"	0.104	5.07e-50
"619"	"T.cells.CD4.naive"	"V632"	-0.131	1.67e-78
"620"	"T.cells.CD4.naive"	"V645"	0.0271	0.000116831
"621"	"T.cells.CD4.naive"	"V648"	-0.106	2.54e-51
"622"	"T.cells.CD4.naive"	"V657"	-0.126	5.13e-72
"623"	"T.cells.CD4.naive"	"V658"	-0.19	1.24e-163
"624"	"T.cells.CD4.naive"	"V662"	0.0751	9.41e-27
"625"	"T.cells.CD4.naive"	"V663"	-0.0754	5.61e-27
"626"	"T.cells.CD4.naive"	"V675"	0.176	1.42e-140
"627"	"T.cells.CD4.naive"	"V677"	-0.066	5.14e-21
"628"	"T.cells.CD4.naive"	"V678"	-0.0042	0.549877783
"629"	"T.cells.CD4.naive"	"V681"	0.148	3.46e-99
"630"	"T.cells.CD4.naive"	"V684"	-0.113	1.05e-58
"631"	"T.cells.CD4.naive"	"V689"	0.0446	2.2e-10
"632"	"T.cells.CD4.naive"	"V702"	-0.0205	0.003534718
"633"	"T.cells.CD4.naive"	"V703"	0.0341	1.19e-06
"634"	"T.cells.CD4.naive"	"V710"	-0.0698	2.57e-23
"635"	"T.cells.CD4.naive"	"V719"	0.198	1.39e-178
"636"	"T.cells.CD4.naive"	"V723"	0.131	5.57e-78
"637"	"T.cells.CD4.naive"	"V731"	0.0818	1.81e-31
"638"	"T.cells.CD4.naive"	"V743"	0.214	5.12e-209
"639"	"T.cells.CD4.naive"	"V746"	0.0737	8.67e-26
"640"	"T.cells.CD4.naive"	"V750"	-0.0342	1.14e-06
"641"	"T.cells.CD4.naive"	"V759"	-0.146	3.57e-97
"642"	"T.cells.CD4.naive"	"V772"	-0.19	1.91e-164
"643"	"T.cells.CD4.naive"	"V774"	0.114	3.62e-59
"644"	"T.cells.CD4.naive"	"V790"	0.113	6.44e-59
"645"	"T.cells.CD4.naive"	"V792"	0.0777	1.53e-28
"646"	"T.cells.CD4.naive"	"V794"	0.198	1.28e-178
"647"	"T.cells.CD4.naive"	"V802"	0.0723	6.38e-25
"648"	"T.cells.CD4.naive"	"V804"	0.173	3.42e-135
"649"	"T.cells.CD4.naive"	"V810"	0.0132	0.059994321
"650"	"T.cells.CD4.naive"	"V814"	-0.0863	8.15e-35
"651"	"T.cells.CD4.naive"	"V817"	-0.0187	0.007907023
"652"	"T.cells.CD4.naive"	"V820"	0.106	5.97e-52
"653"	"T.cells.CD4.naive"	"V821"	0.215	9.61e-211
"654"	"T.cells.CD4.naive"	"V822"	0.0596	2.12e-17
"655"	"T.cells.CD4.naive"	"V823"	0.0696	3.34e-23
"656"	"T.cells.CD4.naive"	"V830"	-0.0587	6.32e-17
"657"	"T.cells.CD4.naive"	"V834"	-0.167	2.51e-126
"658"	"T.cells.CD4.naive"	"V838"	0.177	8.5e-142
"659"	"T.cells.CD4.naive"	"V844"	-0.0346	8.36e-07
"660"	"T.cells.CD4.naive"	"V851"	-0.187	1.21e-158
"661"	"T.cells.CD4.memory.resting"	"V13"	-0.144	4.55e-94
"662"	"T.cells.CD4.memory.resting"	"V14"	0.0803	2.47e-30
"663"	"T.cells.CD4.memory.resting"	"V17"	0.261	2.14059388203635e-313
"664"	"T.cells.CD4.memory.resting"	"V23"	0.128	6.37e-75
"665"	"T.cells.CD4.memory.resting"	"V25"	-0.211	5.53e-202
"666"	"T.cells.CD4.memory.resting"	"V27"	-0.214	1.22e-208
"667"	"T.cells.CD4.memory.resting"	"V37"	0.279	0
"668"	"T.cells.CD4.memory.resting"	"V40"	0.207	7.34e-196
"669"	"T.cells.CD4.memory.resting"	"V52"	0.0189	0.006996165
"670"	"T.cells.CD4.memory.resting"	"V54"	-0.0833	1.42e-32
"671"	"T.cells.CD4.memory.resting"	"V67"	-0.1	2.89e-46
"672"	"T.cells.CD4.memory.resting"	"V68"	-0.195	3.73e-172
"673"	"T.cells.CD4.memory.resting"	"V83"	-0.177	8.33e-142
"674"	"T.cells.CD4.memory.resting"	"V94"	0.0756	4.31e-27
"675"	"T.cells.CD4.memory.resting"	"V100"	-0.278	0
"676"	"T.cells.CD4.memory.resting"	"V112"	0.041	5.29e-09
"677"	"T.cells.CD4.memory.resting"	"V118"	0.0975	4.92e-44
"678"	"T.cells.CD4.memory.resting"	"V119"	0.0383	5.11e-08
"679"	"T.cells.CD4.memory.resting"	"V140"	-0.075	1.14e-26
"680"	"T.cells.CD4.memory.resting"	"V142"	-0.221	6.53e-222
"681"	"T.cells.CD4.memory.resting"	"V149"	0.235	7.48e-253
"682"	"T.cells.CD4.memory.resting"	"V150"	0.0312	8.85e-06
"683"	"T.cells.CD4.memory.resting"	"V155"	-0.0619	1.1e-18
"684"	"T.cells.CD4.memory.resting"	"V157"	-0.282	0
"685"	"T.cells.CD4.memory.resting"	"V159"	0.0478	9.45e-12
"686"	"T.cells.CD4.memory.resting"	"V166"	-0.416	0
"687"	"T.cells.CD4.memory.resting"	"V180"	-0.0699	2.37e-23
"688"	"T.cells.CD4.memory.resting"	"V184"	0.228	1.5e-236
"689"	"T.cells.CD4.memory.resting"	"V189"	-0.00648	0.356635699
"690"	"T.cells.CD4.memory.resting"	"V190"	-0.129	8.72e-76
"691"	"T.cells.CD4.memory.resting"	"V205"	0.0609	4.29e-18
"692"	"T.cells.CD4.memory.resting"	"V219"	0.0231	0.00101687
"693"	"T.cells.CD4.memory.resting"	"V222"	-0.167	1.04e-126
"694"	"T.cells.CD4.memory.resting"	"V227"	-0.264	2.92289236079681e-320
"695"	"T.cells.CD4.memory.resting"	"V231"	-0.0801	3.05e-30
"696"	"T.cells.CD4.memory.resting"	"V238"	0.135	3.84e-83
"697"	"T.cells.CD4.memory.resting"	"V241"	-0.284	0
"698"	"T.cells.CD4.memory.resting"	"V255"	0.214	5.41e-209
"699"	"T.cells.CD4.memory.resting"	"V256"	-0.0275	8.9e-05
"700"	"T.cells.CD4.memory.resting"	"V260"	0.0599	1.45e-17
"701"	"T.cells.CD4.memory.resting"	"V261"	-0.238	6.18e-260
"702"	"T.cells.CD4.memory.resting"	"V268"	-0.133	2.42e-80
"703"	"T.cells.CD4.memory.resting"	"V270"	0.363	0
"704"	"T.cells.CD4.memory.resting"	"V281"	-0.311	0
"705"	"T.cells.CD4.memory.resting"	"V284"	-0.107	1.47e-52
"706"	"T.cells.CD4.memory.resting"	"V286"	-0.00688	0.32714776
"707"	"T.cells.CD4.memory.resting"	"V287"	0.0228	0.00117821
"708"	"T.cells.CD4.memory.resting"	"V294"	-0.273	0
"709"	"T.cells.CD4.memory.resting"	"V308"	-0.0557	2.17e-15
"710"	"T.cells.CD4.memory.resting"	"V327"	0.144	2.82e-94
"711"	"T.cells.CD4.memory.resting"	"V337"	0.029	3.72e-05
"712"	"T.cells.CD4.memory.resting"	"V362"	-0.16	6.35e-117
"713"	"T.cells.CD4.memory.resting"	"V370"	0.0947	1.26e-41
"714"	"T.cells.CD4.memory.resting"	"V375"	-0.188	6.08e-160
"715"	"T.cells.CD4.memory.resting"	"V385"	-0.0939	6.24e-41
"716"	"T.cells.CD4.memory.resting"	"V386"	0.00783	0.265286208
"717"	"T.cells.CD4.memory.resting"	"V392"	-0.00417	0.552763319
"718"	"T.cells.CD4.memory.resting"	"V393"	-0.0856	3.03e-34
"719"	"T.cells.CD4.memory.resting"	"V400"	0.0121	0.084659449
"720"	"T.cells.CD4.memory.resting"	"V403"	-0.174	7.13e-138
"721"	"T.cells.CD4.memory.resting"	"V405"	0.243	2.55e-271
"722"	"T.cells.CD4.memory.resting"	"V423"	0.108	1.33e-53
"723"	"T.cells.CD4.memory.resting"	"V431"	-0.197	3.26e-176
"724"	"T.cells.CD4.memory.resting"	"V435"	-0.183	1.5e-151
"725"	"T.cells.CD4.memory.resting"	"V451"	0.118	7.37e-64
"726"	"T.cells.CD4.memory.resting"	"V452"	0.273	0
"727"	"T.cells.CD4.memory.resting"	"V455"	0.287	0
"728"	"T.cells.CD4.memory.resting"	"V458"	0.202	1.83e-186
"729"	"T.cells.CD4.memory.resting"	"V461"	0.0632	2.22e-19
"730"	"T.cells.CD4.memory.resting"	"V464"	-0.212	2.31e-205
"731"	"T.cells.CD4.memory.resting"	"V469"	-0.274	0
"732"	"T.cells.CD4.memory.resting"	"V473"	0.0686	1.37e-22
"733"	"T.cells.CD4.memory.resting"	"V479"	0.157	1.06e-112
"734"	"T.cells.CD4.memory.resting"	"V484"	-0.309	0
"735"	"T.cells.CD4.memory.resting"	"V493"	-0.188	6.03e-160
"736"	"T.cells.CD4.memory.resting"	"V504"	-0.262	4.16768445121619e-315
"737"	"T.cells.CD4.memory.resting"	"V519"	-0.23	7.53e-241
"738"	"T.cells.CD4.memory.resting"	"V527"	-0.0254	0.000293634
"739"	"T.cells.CD4.memory.resting"	"V528"	0.258	3.57e-305
"740"	"T.cells.CD4.memory.resting"	"V533"	0.361	0
"741"	"T.cells.CD4.memory.resting"	"V537"	-0.011	0.117514464
"742"	"T.cells.CD4.memory.resting"	"V562"	0.0373	1.05e-07
"743"	"T.cells.CD4.memory.resting"	"V570"	0.0405	8.32e-09
"744"	"T.cells.CD4.memory.resting"	"V576"	-0.177	7.15e-143
"745"	"T.cells.CD4.memory.resting"	"V590"	0.0991	1.91e-45
"746"	"T.cells.CD4.memory.resting"	"V592"	0.147	3.74e-98
"747"	"T.cells.CD4.memory.resting"	"V611"	-0.389	0
"748"	"T.cells.CD4.memory.resting"	"V625"	-0.135	1.48e-83
"749"	"T.cells.CD4.memory.resting"	"V626"	-0.072	1.07e-24
"750"	"T.cells.CD4.memory.resting"	"V628"	-0.288	0
"751"	"T.cells.CD4.memory.resting"	"V632"	0.275	0
"752"	"T.cells.CD4.memory.resting"	"V645"	-0.0816	2.58e-31
"753"	"T.cells.CD4.memory.resting"	"V648"	0.119	3.4e-65
"754"	"T.cells.CD4.memory.resting"	"V657"	0.147	1.12e-98
"755"	"T.cells.CD4.memory.resting"	"V658"	0.318	0
"756"	"T.cells.CD4.memory.resting"	"V662"	-0.0354	4.75e-07
"757"	"T.cells.CD4.memory.resting"	"V663"	0.125	7.85e-71
"758"	"T.cells.CD4.memory.resting"	"V675"	-0.397	0
"759"	"T.cells.CD4.memory.resting"	"V677"	-0.0118	0.092505577
"760"	"T.cells.CD4.memory.resting"	"V678"	0.0754	5.58e-27
"761"	"T.cells.CD4.memory.resting"	"V681"	-0.173	3.55e-135
"762"	"T.cells.CD4.memory.resting"	"V684"	0.219	5.57e-218
"763"	"T.cells.CD4.memory.resting"	"V689"	-0.332	0
"764"	"T.cells.CD4.memory.resting"	"V702"	0.145	3.51e-96
"765"	"T.cells.CD4.memory.resting"	"V703"	-0.0226	0.001280332
"766"	"T.cells.CD4.memory.resting"	"V710"	0.0933	2.18e-40
"767"	"T.cells.CD4.memory.resting"	"V719"	-0.314	0
"768"	"T.cells.CD4.memory.resting"	"V723"	-0.402	0
"769"	"T.cells.CD4.memory.resting"	"V731"	-0.15	9.43e-102
"770"	"T.cells.CD4.memory.resting"	"V743"	-0.287	0
"771"	"T.cells.CD4.memory.resting"	"V746"	-0.024	0.000629433
"772"	"T.cells.CD4.memory.resting"	"V750"	0.189	1.28e-162
"773"	"T.cells.CD4.memory.resting"	"V759"	-0.00143	0.838368136
"774"	"T.cells.CD4.memory.resting"	"V772"	0.335	0
"775"	"T.cells.CD4.memory.resting"	"V774"	-0.203	5.18e-187
"776"	"T.cells.CD4.memory.resting"	"V790"	-0.14	1.07e-88
"777"	"T.cells.CD4.memory.resting"	"V792"	-0.283	0
"778"	"T.cells.CD4.memory.resting"	"V794"	-0.338	0
"779"	"T.cells.CD4.memory.resting"	"V802"	-0.196	3.83e-175
"780"	"T.cells.CD4.memory.resting"	"V804"	-0.259	8.7e-308
"781"	"T.cells.CD4.memory.resting"	"V810"	-0.179	3e-146
"782"	"T.cells.CD4.memory.resting"	"V814"	0.126	5.09e-72
"783"	"T.cells.CD4.memory.resting"	"V817"	-0.11	2.95e-55
"784"	"T.cells.CD4.memory.resting"	"V820"	-0.133	4.76e-81
"785"	"T.cells.CD4.memory.resting"	"V821"	0.13	9.01e-77
"786"	"T.cells.CD4.memory.resting"	"V822"	-0.00581	0.407814466
"787"	"T.cells.CD4.memory.resting"	"V823"	-0.176	3.89e-140
"788"	"T.cells.CD4.memory.resting"	"V830"	0.138	4e-86
"789"	"T.cells.CD4.memory.resting"	"V834"	0.153	1.55e-106
"790"	"T.cells.CD4.memory.resting"	"V838"	-0.342	0
"791"	"T.cells.CD4.memory.resting"	"V844"	0.0577	1.95e-16
"792"	"T.cells.CD4.memory.resting"	"V851"	0.146	8.67e-97
"793"	"T.cells.CD4.memory.activated"	"V13"	-0.0314	7.96e-06
"794"	"T.cells.CD4.memory.activated"	"V14"	0.0434	6.45e-10
"795"	"T.cells.CD4.memory.activated"	"V17"	-0.0514	2.34e-13
"796"	"T.cells.CD4.memory.activated"	"V23"	0.105	1.08e-50
"797"	"T.cells.CD4.memory.activated"	"V25"	0.0203	0.00381492
"798"	"T.cells.CD4.memory.activated"	"V27"	-0.293	0
"799"	"T.cells.CD4.memory.activated"	"V37"	0.207	8.21e-196
"800"	"T.cells.CD4.memory.activated"	"V40"	-0.147	2.13e-98
"801"	"T.cells.CD4.memory.activated"	"V52"	-0.0394	2.04e-08
"802"	"T.cells.CD4.memory.activated"	"V54"	0.00632	0.368495093
"803"	"T.cells.CD4.memory.activated"	"V67"	0.032	5.36e-06
"804"	"T.cells.CD4.memory.activated"	"V68"	-0.125	8.53e-72
"805"	"T.cells.CD4.memory.activated"	"V83"	0.0851	6.33e-34
"806"	"T.cells.CD4.memory.activated"	"V94"	0.00132	0.851356949
"807"	"T.cells.CD4.memory.activated"	"V100"	-0.0399	1.29e-08
"808"	"T.cells.CD4.memory.activated"	"V112"	-0.113	7.69e-59
"809"	"T.cells.CD4.memory.activated"	"V118"	-0.0961	8.19e-43
"810"	"T.cells.CD4.memory.activated"	"V119"	0.0455	9.5e-11
"811"	"T.cells.CD4.memory.activated"	"V140"	-0.284	0
"812"	"T.cells.CD4.memory.activated"	"V142"	-0.0137	0.051820409
"813"	"T.cells.CD4.memory.activated"	"V149"	0.261	2.17043190113602e-313
"814"	"T.cells.CD4.memory.activated"	"V150"	0.112	4.43e-57
"815"	"T.cells.CD4.memory.activated"	"V155"	0.0189	0.007031901
"816"	"T.cells.CD4.memory.activated"	"V157"	0.117	4.53e-63
"817"	"T.cells.CD4.memory.activated"	"V159"	0.0113	0.107447752
"818"	"T.cells.CD4.memory.activated"	"V166"	-0.0648	2.45e-20
"819"	"T.cells.CD4.memory.activated"	"V180"	-0.0726	4.43e-25
"820"	"T.cells.CD4.memory.activated"	"V184"	0.0291	3.48e-05
"821"	"T.cells.CD4.memory.activated"	"V189"	0.192	4.39e-168
"822"	"T.cells.CD4.memory.activated"	"V190"	0.192	3.39e-168
"823"	"T.cells.CD4.memory.activated"	"V205"	0.188	3.93e-160
"824"	"T.cells.CD4.memory.activated"	"V219"	0.0981	1.54e-44
"825"	"T.cells.CD4.memory.activated"	"V222"	-0.0604	7.61e-18
"826"	"T.cells.CD4.memory.activated"	"V227"	-0.252	3.31e-291
"827"	"T.cells.CD4.memory.activated"	"V231"	0.173	3.71e-135
"828"	"T.cells.CD4.memory.activated"	"V238"	-0.133	1.91e-80
"829"	"T.cells.CD4.memory.activated"	"V241"	-0.229	2.21e-240
"830"	"T.cells.CD4.memory.activated"	"V255"	0.118	7.35e-64
"831"	"T.cells.CD4.memory.activated"	"V256"	-0.239	1.2e-260
"832"	"T.cells.CD4.memory.activated"	"V260"	-0.0356	4.08e-07
"833"	"T.cells.CD4.memory.activated"	"V261"	-0.376	0
"834"	"T.cells.CD4.memory.activated"	"V268"	0.0583	1e-16
"835"	"T.cells.CD4.memory.activated"	"V270"	0.0313	8.07e-06
"836"	"T.cells.CD4.memory.activated"	"V281"	0.00535	0.446651179
"837"	"T.cells.CD4.memory.activated"	"V284"	-0.289	0
"838"	"T.cells.CD4.memory.activated"	"V286"	-0.0775	2.26e-28
"839"	"T.cells.CD4.memory.activated"	"V287"	0.153	5.96e-107
"840"	"T.cells.CD4.memory.activated"	"V294"	0.062	1e-18
"841"	"T.cells.CD4.memory.activated"	"V308"	0.0293	3.08e-05
"842"	"T.cells.CD4.memory.activated"	"V327"	-0.133	4.37e-80
"843"	"T.cells.CD4.memory.activated"	"V337"	0.0514	2.44e-13
"844"	"T.cells.CD4.memory.activated"	"V362"	-0.00937	0.182119328
"845"	"T.cells.CD4.memory.activated"	"V370"	0.015	0.032621237
"846"	"T.cells.CD4.memory.activated"	"V375"	-0.027	0.000120663
"847"	"T.cells.CD4.memory.activated"	"V385"	-0.00158	0.822357277
"848"	"T.cells.CD4.memory.activated"	"V386"	0.00857	0.222430739
"849"	"T.cells.CD4.memory.activated"	"V392"	-0.133	6.94e-81
"850"	"T.cells.CD4.memory.activated"	"V393"	0.103	6.27e-49
